source_id,ra,dec,phot_g_mean_mag,parallax
237424559472627328,54.85504335746934,41.88137309511731,9.376573,0.5347471303820417
237582373748433536,52.21808459231854,40.803170017651986,9.72378,1.64565943562047
237656178466213376,51.56010063562811,40.99392728212576,9.155921,3.9863803462355434
238075917032444544,51.63588757964943,42.512258908678135,9.032532,4.1071722335472725
238429891058508288,52.90545350937205,43.02060410195897,9.46039,1.07434496063928
238576057384816640,53.65262139051455,43.954799826362915,9.84394,8.042586890319404
239455048209402112,50.072105645549435,41.89713166201977,8.075306,3.3598681158918016
239518751164289152,49.73381910780668,42.091409892020486,9.364118,2.1273393395291746
239765179207805568,48.73619573207563,42.503654991888325,5.7812476,13.159525907088206
239923680680185216,46.3293762808035,41.120919830997366,7.263069,5.795831600953537
239952852097764992,46.47127481484727,41.676431361444635,9.633764,1.6699132766395022
240111383633759744,45.797022731425116,41.33509650462946,8.367602,5.634739298762559
240123310759965952,45.56616236446023,41.519555882481875,9.431804,1.8332339705180105
240479105850832128,47.604539235047895,42.80188197858185,9.070951,4.163068861824312
240525663297681280,48.50982401673582,42.80663087500387,9.971048,0.45158642916334085
240614414500737792,48.00235365127233,43.4329177641704,9.047532,2.55410516231084
240688352361454336,47.2030775697023,43.10693723778694,9.899294,3.8062389319018948
241037520319218432,50.165090200849875,42.675770882452355,9.961655,3.2502975868998885
241317552187161472,49.405853772155915,43.37307158507278,9.331852,14.564533895588994
241361670090987648,50.04632660923703,44.00811303998226,9.605625,0.6559611690314642
241373867801173888,50.99067918227474,43.64795262983782,9.588046,0.5336061127903692
241711138693548416,53.698085498414336,45.1524961368749,9.865845,8.6244342218982
242106761018358272,49.888479108545134,44.00444031669181,7.1747003,3.7657496000484865
242211901820975616,50.25797552571362,44.376505890675865,7.882377,1.147626273147767
242422080337780096,48.36074509707327,44.73138556689432,9.70125,1.7140477849551268
242480182655976064,48.592577818203885,45.46546211626683,9.979704,0.693603884852772
242668164786037760,51.407148959190884,45.51553531414266,7.5482078,2.9086329020162762
242677922951628672,51.74487523510625,45.7292391366651,9.350046,1.5489576154236802
242724927073430400,50.39425265410986,45.74990657424135,8.769358,3.517209587244331
242742794137938304,50.970387488836295,45.97290196704425,8.326816,1.5238715492186277
242752243064951680,51.253552408979445,46.2423580138729,9.762454,2.957508547403154
242854738164369792,51.83210298986702,46.564063883510215,8.843173,6.184403720881892
242917375968615168,50.24556136056215,45.91231935595275,8.388256,3.299549114697741
244198169576471808,58.440173794706205,45.31069246624362,9.574432,0.5909040455824613
244489780674793728,56.31546294833374,44.74126579876368,9.99137,
244511324230588800,56.69870390702837,45.03418127505881,8.823381,2.531214256624995
244562554600186240,55.79902914732748,45.153574058993094,9.473358,1.106387941563026
244600281592631552,56.49705635100865,45.68181626157743,5.6314926,4.664349129972703
244610108478057600,54.66331093995801,44.53719659280225,7.3934035,3.608997960392127
244635397245256960,54.76846717793567,44.88149020931506,8.422358,24.448093093419498
244731123475814400,54.59164616768539,45.43831675166124,9.236781,5.948271692088961
139323074022561024,48.50567672885278,37.67387145101545,8.090795,1.382876022608588
139437972987272960,47.19751762229991,37.29624187597669,8.963665,1.7461858200902198
140712822359805568,43.7562664239347,36.73055516390637,8.600898,4.592018569745516
141645757976289920,41.9164041774262,37.27917004748992,9.561157,1.7537836960973918
141920979480321408,45.08891780230407,36.388089146072176,7.9945674,10.308667129231006
142394903351844352,45.04963938733783,38.13162277005914,6.084088,4.462996308543114
142548731899950976,46.50072026323203,38.3997709550731,9.741774,1.1347909146520987
142549556533611264,46.226627506663576,38.134206318295284,9.3750725,5.357247563167701
142876214567013120,46.39221149986953,39.15434519671495,9.594234,1.6206865351998614
143029012323368064,43.88575615655114,37.678417229148366,9.689679,1.8415595324301197
143380581166229632,42.974407047185714,38.927484686492875,9.876027,1.4426144783559842
143790802082852608,45.40094613741503,40.36381392253512,8.407368,2.7615523366289354
